prompt,response
[NSCI] Net price changes from 1 to 1.12,"Actual Issue: Net price changes from 1 to 1.12
I'm trying to issue a PO to supplier 99001108 GE Power GmbH. However, the net price changes from 1 to 1.12 – pacv35 - every time. Please advise.

Resolution or Suggested steps: The price changes was due to added markup price. There was a condition record maintained for that vendor by Szilveztor. We have asked them to to connect with tax team for further changes.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI]-tax code for PO 4102386600  line 10 can't be changed to A5 after several tries,"Issue/Request: [NSCI]-tax code for PO 4102386600  line 10 can't be changed to A5 after several tries
tax code for PO 4102386600  line 10 can't be changed to A5 after several tries, could you pls help to solve this issue asap? thanks.

Root cause:  A2 Tax code (10 %) is determined to PO automatically since there was a valid Tax condition record (MWST)available. (refer screenshot below)
Valid date : 01.01.2023 to 30.06.2023
PO dated:- 13.06.2023.
 
Solution: Suggested user to reach out to Local FI/Tax team for  Tax condition record update.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
[NSCI] Need to remove the signatures on PDF of PO created from IL32 Purch org.,"Actual Issue: Need to remove the signatures on PDF of PO created from IL32 Purch org.
Dears, as requested by EMEA Sourcing Leader, we need to remove any signature on PO issued from IL32 Purch Org. Could you please support how  to deactivate Signature. Thanks 

Resolution or Suggested steps: We have removed the signatures for the given SSO with the help of basis team.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
"[NSCI] The user 503400420  tries to do ML81N for receptions , but has no lines to receipt ","Actual Issue: The user 503400420  tries to do ML81N for receptions , but has no lines to receipt 
PO : 4102522281;
The user 503400420  tries to do ML81N for receptions , but has no lines to receipt . please see the screenshots attached .
thanks

Resolution or Suggested steps: We have suggested user to put the service details manually as no service number was used in the PO.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: It should only be 1 line item of GRN, not sure why there is 1 GRN but 2 line items

Root Cause: The GR was split into two because the confirmations were posted twice

Resolution or Suggested steps: We have asked user to merge the confirmation to post GR in one line item.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
SES wrongly entered Too old to cancel,"Actual Issue: SES wrongly entered Too old to cancel
Help with Invoice/SES
Invoice/SES wrongly entered
Too old to cancel

Root Cause: The posting date was in the past

Resolution or Suggested steps: We have guided user on the SES changes and GR reversal.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Line 100
Line 150
Both have no value so can not do GRN
Issue as attach

Root Cause: The qty and value in po line was already exhausted

Resolution or Suggested steps: We have suggested user to cancel the existing GR, change the qty and price in po line item and redo the GR.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: HI Team, we have a PO 4102446889 under COCo P1BD. while trying to do the Service entry, we could see that error message is popping up which is attached here too. Need your urgent support on the issue. We tried to use the tcode ML81N.

Root Cause: The sales order ref used in the account assignment was invalid 

Resolution or Suggested steps: We have suggested user to amend the PO and use the appropriate account assignment cat.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Configure Tax code 1S correctly,"Issue/Request: PE1: Configure Tax code 1S correctly-In this PO I need to use the tax code 1s, but when I save the value it
is correct, total, but when I enter the PO again, the tax code
automatically changes to the tax code ZG and the total value of the PO
becomes smaller. I need this problem to be solved because I need the IS
tax code for this PO, and the value will be 54,000,000

Root cause:Tax  Condition record exists for ZG.

Solution: Issue resolved by user end created new PO.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: PN 250A7208P0001 in stock not available for delivery,"Actual Issue:  PE1: PN 250A7208P0001 in stock not available for delivery
Root Cause: insufficient material stock
Resolution: user was able to create OBD
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Configure Tax code 1S correctly,"Issue/Request:PE1: Configure Tax code 1S correctly-Hi Team,
In this PO I need to use the tax code 1s, but when I save the value it
is correct, total, but when I enter the PO again, the tax code
automatically changes to the tax code ZG and the total value of the PO
becomes smaller. I need this problem to be solved because I need the IS
tax code for this PO, and the value will be 54,000,000

Root cause:Tax  Condition record exists for ZG.

Solution: Issue resolved by user end created new PO.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
Purchasing block without history,"Issue/Request: Purchasing block without history
Root cause: User requirement
Solution: Explained user like change for this vendor and Purch Org was done at the same day (first step block, second unblock). So maybe the same person who executed last changed was the person who did previous modification (maybe by mistake).

Closing the ticket as user confirmed, attached closure confirmation
"
Multiple SES approval attribute carryover,"""Issue/Request: Bulk SES approval issue

Root Cause: NA

Solution/Action: User agreed to close this ticket

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
Reject SES in PMX,"""Issue/Request: Request raised o reject SES

Root Cause: As requested by business 

Solution/Action: Only one SES exist , analysis shared

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Unable to complete the PGI1 and PGI2 in PMX for OBD 80778220
Root Cause: Issue was occurred due to UOM mismatch between PO 4102479555 and SO 726043
Resolution:  User has booked PGI1&2 for the mentioned OBD
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
Administrative Ticket (SAP) | Unable to raise PO in SAP,"Actual Issue: Unable to raise PO in SAP

Root Cause: Target QM system field had different value

Resolution or Suggested steps: We have asked the team to update target QM field in master and try to create the PO.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: I cannot make GR for PO 4102506409 and 4102512560. Pls loop grace1.guo@ge.com in. 

Root Cause: The movement type being used was not meant for GR wrt PO

Resolution or Suggested steps: We have suggested user to check and use the right movement type 101.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
